userid;campaignid;datetime;action
15;2018-06-29;2018-07-13 15:16:57;open
15;2018-06-29;2018-07-13 15:16:56;open
15;2018-06-29;2018-07-13 15:16:53;open
15;2018-06-29;2018-07-13 15:16:31;open
08;2018-06-29;2018-07-11 14:48:57;open
08;2018-06-29;2018-07-11 14:29:39;click
08;2018-06-29;2018-07-11 14:29:21;click
08;2018-06-29;2018-07-11 14:25:24;click
08;2018-06-29;2018-07-11 14:24:28;open
22;2018-06-22;2018-07-09 16:24:48;open
11;2017-12-15;2018-07-04 18:09:29;open
15;2018-06-29;2018-07-04 01:28:31;open
02;2018-06-29;2018-07-03 11:25:04;click
02;2018-06-29;2018-07-03 11:25:03;click
02;2018-06-29;2018-07-03 11:24:44;open
14;2018-06-29;2018-07-02 16:49:05;click
14;2018-06-29;2018-07-02 16:48:01;open
25;2018-06-29;2018-07-02 13:02:47;open
10;2018-06-29;2018-07-02 10:54:04;click
10;2018-06-29;2018-07-02 10:53:43;click
10;2018-06-29;2018-07-02 10:53:38;click
10;2018-06-29;2018-07-02 10:53:35;click
20;2018-06-29;2018-07-02 09:47:28;click
20;2018-06-29;2018-07-02 09:47:19;click
21;2018-06-29;2018-07-02 09:34:45;open
09;2018-06-29;2018-06-30 12:44:05;open
14;2018-06-29;2018-06-30 10:00:03;open
11;2018-06-29;2018-06-30 07:49:27;open
15;2018-06-29;2018-06-29 23:15:31;open
13;2018-06-29;2018-06-29 22:16:34;open
11;2018-06-29;2018-06-29 21:44:07;click
24;2018-06-29;2018-06-29 21:43:21;click
24;2018-06-29;2018-06-29 21:43:13;open
16;2018-06-29;2018-06-29 21:24:49;open
06;2018-06-29;2018-06-29 21:21:40;open
03;2018-06-29;2018-06-29 21:16:59;open
03;2018-06-29;2018-06-29 21:16:49;open
03;2018-06-22;2018-06-25 19:52:36;open
03;2018-06-22;2018-06-25 19:50:44;click
03;2018-06-22;2018-06-25 19:50:32;open
06;2018-06-22;2018-06-25 15:31:10;open
21;2018-06-22;2018-06-25 10:19:32;open
21;2018-06-22;2018-06-25 10:06:54;open
21;2018-06-22;2018-06-25 09:57:08;open
08;2018-06-22;2018-06-25 09:33:15;click
08;2018-06-22;2018-06-25 09:32:08;click
08;2018-06-22;2018-06-25 09:31:26;click
08;2018-06-22;2018-06-25 09:26:01;click
25;2018-06-22;2018-06-25 09:22:44;open
08;2018-06-22;2018-06-25 08:58:59;click
08;2018-06-22;2018-06-25 08:58:55;open
08;2018-06-22;2018-06-25 08:55:28;click
08;2018-06-22;2018-06-25 08:41:00;open
08;2018-06-22;2018-06-25 08:26:19;open
01;2018-06-22;2018-06-25 01:06:24;click
01;2018-06-22;2018-06-25 01:06:11;click
01;2018-06-22;2018-06-25 01:06:01;click
01;2018-06-22;2018-06-25 01:05:46;click
01;2018-06-22;2018-06-25 01:05:20;click
01;2018-06-22;2018-06-25 01:05:08;click
01;2018-06-22;2018-06-25 01:04:20;open
22;2018-06-22;2018-06-23 17:54:40;open
01;2018-06-22;2018-06-23 09:40:43;click
01;2018-06-22;2018-06-23 09:40:31;click
01;2018-06-22;2018-06-23 09:39:40;click
01;2018-06-22;2018-06-23 09:37:36;open
14;2018-06-22;2018-06-23 08:32:33;open
03;2018-06-22;2018-06-23 02:14:29;open
16;2018-06-22;2018-06-23 00:02:06;open
09;2018-06-22;2018-06-22 23:28:00;click
09;2018-06-22;2018-06-22 23:27:45;click
09;2018-06-22;2018-06-22 23:27:38;open
13;2018-06-22;2018-06-22 23:01:32;click
13;2018-06-22;2018-06-22 22:59:04;click
13;2018-06-22;2018-06-22 22:58:56;open
15;2018-06-01;2018-06-17 21:31:13;open
15;2018-05-18;2018-06-10 01:00:46;open
15;2018-06-01;2018-06-10 00:58:18;open
08;2018-06-01;2018-06-08 09:16:41;click
08;2018-06-01;2018-06-08 09:16:15;click
08;2018-06-01;2018-06-08 09:11:43;click
08;2018-06-01;2018-06-08 09:11:34;click
08;2018-06-01;2018-06-08 09:09:03;click
08;2018-06-01;2018-06-08 09:06:51;click
08;2018-06-01;2018-06-08 08:48:33;click
08;2018-06-01;2018-06-08 08:47:37;click
08;2018-06-01;2018-06-08 08:42:52;click
20;2018-06-01;2018-06-05 10:21:31;click
20;2018-06-01;2018-06-05 10:21:21;click
12;2018-06-01;2018-06-05 02:25:40;click
12;2018-06-01;2018-06-05 02:25:33;click
12;2018-06-01;2018-06-05 02:25:23;click
12;2018-06-01;2018-06-05 02:25:03;open
06;2018-06-01;2018-06-04 15:29:41;open
15;2018-06-01;2018-06-04 15:15:39;open
01;2018-06-01;2018-06-04 10:34:47;click
25;2018-06-01;2018-06-04 10:12:34;open
01;2018-06-01;2018-06-04 10:03:00;open
01;2018-06-01;2018-06-04 10:02:02;open
01;2018-06-01;2018-06-04 10:01:58;open
01;2018-06-01;2018-06-04 10:00:40;open
01;2018-06-01;2018-06-04 09:10:31;open
09;2018-06-01;2018-06-03 18:32:31;click
09;2018-06-01;2018-06-03 18:32:23;click
09;2018-06-01;2018-06-03 18:32:14;open
09;2018-06-01;2018-06-03 02:11:07;open
11;2018-06-01;2018-06-02 13:21:15;open
14;2018-06-01;2018-06-02 12:08:32;click
14;2018-06-01;2018-06-02 12:07:52;open
04;2018-06-01;2018-06-02 10:59:03;click
04;2018-06-01;2018-06-02 10:58:25;open
01;2018-06-01;2018-06-01 23:40:27;open
01;2018-06-01;2018-06-01 23:36:15;open
01;2018-06-01;2018-06-01 23:30:07;open
13;2018-06-01;2018-06-01 22:54:59;open
03;2018-06-01;2018-06-01 22:41:04;open
03;2018-06-01;2018-06-01 22:38:20;click
03;2018-06-01;2018-06-01 22:38:18;click
03;2018-06-01;2018-06-01 22:37:13;open
24;2018-06-01;2018-06-01 22:31:16;click
24;2018-06-01;2018-06-01 22:31:07;open
14;2018-05-18;2018-05-22 11:26:23;open
14;2018-05-18;2018-05-22 11:26:19;open
08;2018-05-18;2018-05-22 08:48:35;click
08;2018-05-18;2018-05-22 08:48:01;click
08;2018-05-18;2018-05-22 08:47:19;click
03;2018-05-18;2018-05-22 00:32:23;open
03;2018-05-18;2018-05-22 00:32:10;open
03;2018-05-18;2018-05-22 00:32:09;open
10;2018-05-18;2018-05-21 10:23:52;click
10;2018-05-18;2018-05-21 10:22:59;click
10;2018-05-18;2018-05-21 10:22:45;click
17;2018-05-18;2018-05-21 08:55:09;open
25;2018-05-18;2018-05-19 15:27:13;open
11;2018-05-18;2018-05-19 07:22:39;open
16;2018-05-18;2018-05-18 23:10:31;open
06;2018-05-18;2018-05-18 21:56:40;open
13;2018-05-18;2018-05-18 21:46:34;open
13;2018-05-18;2018-05-18 21:46:29;open
13;2018-05-18;2018-05-18 21:46:27;open
13;2018-05-18;2018-05-18 21:46:26;open
13;2018-05-18;2018-05-18 21:46:24;open
13;2018-05-18;2018-05-18 21:46:23;open
13;2018-05-18;2018-05-18 21:46:18;open
13;2018-05-18;2018-05-18 21:46:17;open
13;2018-05-18;2018-05-18 21:46:16;open
14;2018-05-18;2018-05-18 21:46:13;open
13;2018-05-18;2018-05-18 21:46:06;open
13;2018-05-18;2018-05-18 21:46:03;open
13;2018-05-18;2018-05-18 21:45:45;open
13;2018-05-18;2018-05-18 21:45:44;open
13;2018-05-18;2018-05-18 21:45:42;open
13;2018-05-18;2018-05-18 21:45:28;open
13;2018-05-18;2018-05-18 21:45:24;open
13;2018-05-18;2018-05-18 21:45:23;open
13;2018-05-18;2018-05-18 21:45:19;open
13;2018-05-18;2018-05-18 21:45:11;open
13;2018-05-18;2018-05-18 21:45:04;open
13;2018-05-18;2018-05-18 21:45:03;open
13;2018-05-18;2018-05-18 21:45:02;open
13;2018-05-18;2018-05-18 21:44:54;open
18;2018-05-18;2018-05-18 21:40:41;open
05;2018-05-11;2018-05-15 17:56:14;open
05;2018-05-11;2018-05-15 17:56:13;open
05;2018-05-11;2018-05-15 17:06:22;open
05;2018-04-13;2018-05-14 20:11:54;open
05;2018-04-13;2018-05-14 20:11:48;open
25;2018-05-11;2018-05-14 13:45:19;open
05;2018-04-13;2018-05-14 10:48:51;open
04;2018-05-11;2018-05-14 10:29:31;open
04;2018-05-11;2018-05-14 07:24:44;open
13;2018-05-11;2018-05-14 05:52:14;open
05;2018-04-13;2018-05-14 05:06:14;click
05;2018-04-13;2018-05-14 05:05:45;open
05;2018-04-27;2018-05-14 05:05:12;click
05;2018-04-27;2018-05-14 05:04:31;click
05;2018-04-27;2018-05-14 05:03:47;open
05;2018-04-27;2018-05-14 05:03:46;open
05;2018-05-11;2018-05-14 05:00:35;click
05;2018-05-11;2018-05-14 05:00:29;click
05;2018-05-11;2018-05-14 04:59:21;click
05;2018-05-11;2018-05-14 04:58:15;click
05;2018-05-11;2018-05-14 04:56:30;click
05;2018-05-11;2018-05-14 04:56:21;open
05;2018-05-11;2018-05-14 04:56:20;open
05;2018-05-11;2018-05-13 15:47:45;open
11;2018-05-11;2018-05-13 09:51:46;open
21;2018-05-11;2018-05-13 02:57:21;open
21;2018-05-11;2018-05-13 02:57:15;open
21;2018-05-11;2018-05-13 02:56:50;open
21;2018-05-11;2018-05-13 02:55:50;open
21;2018-05-11;2018-05-13 02:32:19;open
21;2018-05-11;2018-05-13 02:21:17;open
14;2018-05-11;2018-05-12 08:34:31;click
14;2018-05-11;2018-05-12 08:34:17;open
18;2018-05-11;2018-05-12 06:47:08;open
18;2018-05-11;2018-05-12 06:37:22;open
01;2018-05-11;2018-05-12 00:56:02;open
13;2018-05-11;2018-05-11 21:19:35;click
13;2018-05-11;2018-05-11 21:13:42;click
13;2018-05-11;2018-05-11 21:10:14;click
13;2018-05-11;2018-05-11 21:09:35;open
25;2018-05-11;2018-05-11 21:07:47;open
03;2018-05-11;2018-05-11 19:56:37;open
03;2018-05-11;2018-05-11 19:54:19;click
03;2018-05-11;2018-05-11 19:53:50;click
03;2018-05-11;2018-05-11 19:53:26;open
03;2018-05-11;2018-05-11 19:53:25;open
16;2018-05-11;2018-05-11 19:40:32;open
24;2018-05-11;2018-05-11 19:27:10;open
15;2018-04-27;2018-05-03 01:06:38;open
25;2018-04-27;2018-05-02 11:22:25;open
22;2018-04-27;2018-05-01 10:51:01;open
03;2018-04-27;2018-04-30 18:20:15;open
03;2018-04-27;2018-04-30 18:18:44;click
03;2018-04-27;2018-04-30 18:17:11;click
03;2018-04-27;2018-04-30 18:14:57;click
03;2018-04-27;2018-04-30 18:14:49;open
03;2018-04-27;2018-04-30 18:14:48;open
10;2018-04-27;2018-04-30 15:47:18;click
10;2018-04-27;2018-04-30 15:47:14;click
11;2018-04-27;2018-04-30 08:00:33;open
18;2018-04-27;2018-04-29 20:26:54;open
13;2018-04-27;2018-04-28 16:39:55;open
13;2018-04-27;2018-04-28 16:35:22;click
13;2018-04-27;2018-04-28 16:35:12;open
18;2018-04-27;2018-04-28 10:10:52;open
14;2018-04-27;2018-04-28 08:10:14;open
11;2018-04-27;2018-04-28 07:26:04;open
16;2018-04-27;2018-04-27 22:39:22;open
16;2018-04-27;2018-04-27 22:17:47;open
16;2018-04-27;2018-04-27 22:15:40;open
06;2018-04-27;2018-04-27 22:02:33;open
15;2018-04-06;2018-04-23 06:49:52;open
15;2018-04-13;2018-04-23 06:48:19;open
15;2018-04-13;2018-04-23 06:48:15;open
15;2018-04-13;2018-04-23 06:48:05;open
04;2018-04-06;2018-04-21 08:51:00;open
04;2018-04-13;2018-04-21 08:50:38;open
21;2018-04-06;2018-04-18 11:33:56;open
06;2018-04-13;2018-04-16 15:45:50;open
10;2018-04-13;2018-04-16 10:16:45;click
10;2018-04-13;2018-04-16 10:16:41;click
25;2018-04-13;2018-04-16 09:41:51;open
20;2018-04-13;2018-04-16 09:15:39;click
20;2018-04-13;2018-04-16 09:13:20;click
18;2018-04-13;2018-04-14 11:08:59;click
18;2018-04-13;2018-04-14 11:07:31;click
18;2018-04-13;2018-04-14 11:05:00;click
18;2018-04-13;2018-04-14 11:03:50;open
16;2018-04-13;2018-04-13 23:27:45;open
24;2018-04-13;2018-04-13 22:19:55;open
14;2018-04-13;2018-04-13 21:30:29;open
13;2018-04-13;2018-04-13 21:01:48;open
03;2018-04-13;2018-04-13 20:53:54;click
03;2018-04-13;2018-04-13 20:52:36;click
03;2018-04-13;2018-04-13 20:52:22;open
25;2018-04-06;2018-04-09 16:23:04;open
06;2018-04-06;2018-04-09 15:30:12;open
18;2018-04-06;2018-04-09 14:27:14;click
18;2018-04-06;2018-04-09 14:27:07;click
18;2018-04-06;2018-04-09 14:26:57;click
18;2018-04-06;2018-04-09 14:26:54;click
20;2018-04-06;2018-04-09 13:35:15;click
20;2018-04-06;2018-04-09 13:34:45;click
20;2018-04-06;2018-04-09 13:33:21;click
21;2018-04-06;2018-04-09 09:14:33;open
21;2018-04-06;2018-04-09 09:14:30;open
18;2018-04-06;2018-04-09 08:41:37;open
18;2018-04-06;2018-04-09 08:41:36;open
18;2018-04-06;2018-04-09 08:41:18;open
18;2018-04-06;2018-04-09 08:41:12;open
18;2018-04-06;2018-04-09 08:41:11;open
18;2018-04-06;2018-04-09 08:41:00;open
18;2018-04-06;2018-04-09 08:39:39;open
18;2018-04-06;2018-04-09 08:39:18;open
18;2018-04-06;2018-04-09 08:39:09;open
18;2018-04-06;2018-04-09 08:39:03;open
18;2018-04-06;2018-04-09 08:38:55;open
18;2018-04-06;2018-04-09 08:38:48;open
18;2018-04-06;2018-04-09 08:38:39;open
18;2018-04-06;2018-04-09 08:38:38;open
18;2018-04-06;2018-04-09 08:38:18;click
18;2018-04-06;2018-04-09 08:37:32;open
13;2018-04-06;2018-04-09 04:25:28;click
13;2018-04-06;2018-04-09 04:23:54;click
13;2018-04-06;2018-04-09 04:20:34;click
13;2018-04-06;2018-04-09 04:17:16;click
13;2018-04-06;2018-04-09 04:14:35;click
